language,location,message
en,,Reflection On The Notre Dame Fire From Fr. Joseph Gill https://t.co/mgHUIr3KRc
en,United Kingdom,An incredible wave of solidarity has risen over the past few days to save and rebuild #NotreDame. We just want to t… https://t.co/19g5cTNE01
en,"Arlington Heights, IL.",Fr. John Smyth was huge in Chicago-area Catholic circles. He died Tuesday night at Loyola University Medical Center… https://t.co/GsmO8BMCM6
en,"Irvine, California",Beware of scams for donations to help with Notre Dame recovery. Here are 3 official French government supported add… https://t.co/ndlvjOgv7S
fr,Novalaise,Debate: Should Notre-Dame be rebuilt in the mould of the original or reimagined for the modern age?  https://t.co/pDE700KLEd
en,Somewhere Way Out There,"Is the Crown of Thorns saved from the Great Fire of Notre Dame legit?

From Fr. Mark Muñoz - Many friends have inqu… https://t.co/D8pWeTowID"
fr,Paris,Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/Q0i9zhwA4z via @Le_Figaro
en,"Oakland, CA","Almost 1 billion dollars pledged to restore Notre Dame, a building...

https://t.co/ijcJlE5x7f"
fr,"Nantes, France",Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/AGUgW3UmDL
en,,Notre dame Fr is having a girl be the leprechaun this year. Hopefully it brings better luck😩
en,France,undefined https://t.co/8kZJDbuyrb
en,Paris,Will French taxpayers ultimately bear the burden of wealthy families' huge donations to the #NotreDame cathedral? G… https://t.co/G8hV7pLZvT
en,"Manhattan, NY",Disney promet 5 millions de dollars pour reconstruire Notre-Dame ⁦@Le_Figaro⁩  https://t.co/mnaJyHo93b
fr,Paris,#Disney promet 5 millions de dollars pour reconstruire #NotreDame https://t.co/SaHIgl0kYw https://t.co/rhiK8hXXjS
en,,You can donate to help rebuild Notre Dame here: https://t.co/TlclYwh3v3
en,"Northville, Michigan",Bishop Barron Invites You to Become a Friend of Notre Dame De Paris - Friends of Notre-Dame de Paris… https://t.co/rWXUzfKWHg
fr,"Paris, Ile-de-France",Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/NLGVCdVPlz
en,"Washington, DC",I gave no fucks about that Notre Dame shit burning down all them shits need to go fr.
en,,@Lenoir_leblanc So far Le Figaro's coverage has been very up to date. https://t.co/IT7SSTerIv
en,Europe,France to launch international contest to rebuild Notre-Dame spire https://t.co/GjgnjIATcT
en,,"Yuanmingyuan let us learned the price of cowardice and cruelty of war, rather than sneering at the vanish of human… https://t.co/qnMBH5QO5c"
en,"Paris, France","Contest to find design to replace Notre-Dame's spire - or leave a gap where it once stood
https://t.co/44P2baDM7y"
en,,"Bernard Toulier, head conservator at the French Culture Ministry, on the fact that 1300 oak trees cannot be found t… https://t.co/qKNQ8rXTTm"
en,"Col...Caliruinedado, Red Pill","You can donate to help restore the Notre Dame in Paris France, which was severely damaged by fire on 04/15/19.  

https://t.co/2GovhqYUNs"
en,Texas,"Watch Notre-Dame's 16 bronze statues being flown over Paris days before the 'fire'...... something is amiss 🤔🤔🤔
https://t.co/9sEQx1BOPS"
en,"Paris, France","Heartbreaking images of piles of rubble and charred timber among the cathedral's treasures
https://t.co/j6JM3NufPq"
fr,Tunis,Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/4CwvkIwAvA
fr,"Bruxelles, Belgique","Apple will help rebuild Notre-Dame Cathedral after its massive fire, according to CEO Tim Cook https://t.co/V0mT8XonMp via @BIfrance"
fr,,"@ScotNational Scaffolding company rules out any responsibility for the #NotreDame fire.
No welding/soldering work w… https://t.co/n83s7MNaww"
en,Texas,"@camillo1978 the notre dame one isn’t fake 

https://t.co/nBOtc0cCJH

https://t.co/mC3s3yixF7"
en,Massachusetts,Rehearsal pays off and their risking of their lives is humbling. https://t.co/IdD3HigCg3
fr,,@Marie_Peltier @realMathildeD Soupir... https://t.co/GdA3gY0szV
en,Washington DC area,Friends of Notre-Dame De Paris Inc. is a US 501(c)(3) that directly supports the cathedral and its reconstruction… https://t.co/CQbuZdKsKp
en,The moon and beyond,You complain about the money donated to reconstruct Notre Dame and say it should have gone to poor people but https://t.co/oKfKpxcs1C
en,,"My thoughts about Notre Dame/the rush to pay for the reconstruction, in two articles: 
https://t.co/r4Sv25foZ9
https://t.co/kEgGRlGUYU"
en,instagram.com/jewels.monthlygames/,"""For one week, we will be giving Assassin's Creed Unity away free on PC, for anyone who wants to enjoy it. You can… https://t.co/oRDIcByrnx"
fr,Ville de Sakura,@fr_souche_jura Japan ready to support France in rebuilding Notre Dame cathedral https://t.co/sMe3P3mpj7
en,Toronto,"When formally addressing the Notre Dame fire, the firefighters evacuated people first.  A gentle reminder that Pari… https://t.co/M9UHHq1wfJ"
en,"Michigan, USA","Unbelievable! The rooster atop #NotreDame's weathervane, which was thought lost when the spire collapsed, was found… https://t.co/2FxpCZMnjM"
en,"Mobile, AL","#NotreDameCathedralFire info on the investigation 

https://t.co/uNUYEsl3uw"
