language,location,message
en,"Notre Dame, IN","RT @NDSMCObserver: Professors discussed a new book on Fr. Hesburgh as well as his legacy at Notre Dame and beyond. 
https://t.co/SWZOHGxEJl"
en,"Phoenix, AZ",RT @NotreDame: “We join in prayer with the faithful of the Cathedral of Notre-Dame in Paris and all of France as they begin the work of reb…
fr,,"RT @saintgobain: 📌  « Le monde de la construction mobilisé pour reconstruire @notredameparis » @Le_Moniteur 
📌 « Major companies from the b…"
fr,"ÜT: 48.867322,2.364312",RT @YannLeGales: Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/Zxlsl1LjXY
en,HawaiianKingdom👑SeaWirch🐬,"RT @business: “The Hunchback of Notre-Dame,” by Victor Hugo, jumped to first place on the bestseller list of Amazon France after a fire rav…"
en,"Tun. Wells, Norfolk & London",RT @RomainDelaume: I’ll be live on @lbc with @IainDale tonight at 7:35pm UK Time to talk about @DartagnansFR international crowfunding camp…
fr,Paris,I’ll be live on @lbc with @IainDale tonight at 7:35pm UK Time to talk about @DartagnansFR international crowfunding… https://t.co/ePbdnRqsDQ
pt,Brasil,"RT @HenryMakow: ""The fire protection set up in the cathedral was at its highest level""

""The fire could not start from a short circuit, fro…"
en,Global,Notre-Dame in Paris in 17 vintage photographs https://t.co/FNgXlk0MMS
en,United States,"All. 3. Rose. Windows. Survived. ❤️❤️❤️❤️❤️❤️❤️❤️

Built in the 13th century, those things are fucking otherworldly… https://t.co/1wCoHxCNi2"
fr,France,"#NotreDameDeParis Look Notre Dame #paris #dons 
https://t.co/FdwnCSoUnG"
en,Home Probably ,RT @selenasprocket: Y’all is really donating money to save Notre Dame but did NOTHING about Wannado City? Is y’all fr?
en,"Washington, D.C.","Our latest podcast: Processing the #NotreDame fire with @UDMDetroit architecture professor Fr. @gsunghera, SJ.  https://t.co/XmyVFkjxGQ"
en,"Boston, MA",RT @NotreDame: “We join in prayer with the faithful of the Cathedral of Notre-Dame in Paris and all of France as they begin the work of reb…
en,,"RT @RealFriscoKid: Interactive Before and After views of Notre-Dame 

https://t.co/YxY9m3GJ9n https://t.co/uD9rWSBomh"
en,,"@listmouse Not an exact cite, but that sounds incorrect to me. As per this article its maintenance was paid for by… https://t.co/N24bYQEriG"
fr,France,RT @Ubisoft: In solidarity with everyone moved by Monday's events we’re donating to the restoration of Notre-Dame &amp; giving you the chance t…
es,"Medellín,Colombía",RT @FactcheckEU: #NotreDameFire Here's why firefighters are not using water bomber planes: https://t.co/4T7eL7z0do https://t.co/AHk8jxdplV
fi,"Espoo, Suomi",French newspaper Le Parisien reported that a fire alarm went off at Notre Dame shortly after 6 p.m. Monday but a co… https://t.co/jdsuLXaAHE
en,"Seattle, WA",@maggiekb1 The firm is distancing itself claiming no work was underway at the time of the fire and that the electri… https://t.co/PfTGo3USTi
en,,"RT @FlawsomeSelf96: Unbelievable! The rooster atop #NotreDame's weathervane, which was thought lost when the spire collapsed, was found lyi…"
