VISLAT,VISLONG,REALLAT,REALLONG,NEWLAT,NEWLONG
460271,8785023,-44.25029,85.50033,44.25029,-85.50033
524874,90623,-43.60426,-1.44367,43.60426,1.44367
985273,10785073,-39.00027,105.50083,39.00027,-105.50083
811081.5,7634250.2,-40.742185,73.992602,40.742185,-73.992602
1066403.8,8802671.9,-38.188962,85.676819,38.188962,-85.676819
-265553,247564,-51.50853,0.12574,51.50853,-0.12574
-1125567,11599248,-60.10867,113.64258,60.10867,-113.64258
346967,-2091677,-45.38333,-23.26667,45.38333,23.26667
909300,10084990,-39.76,98.5,39.76,-98.5
-455247.19,533043.93,-53.4054719,2.9805393,53.4054719,-2.9805393
7236356,4922601,23.51056,46.87611,-23.51056,-46.87611
1808499,8433105.5,-30.76801,81.981155,30.76801,-81.981155
2942453,10147756,-19.42847,99.12766,19.42847,-99.12766
7281383,4868351,23.96083,46.33361,-23.96083,-46.33361
4378411,7786728,-5.06889,75.51738,5.06889,-75.51738
-462795,458733,-53.48095,2.23743,53.48095,-2.23743
7428078,5162296,25.42778,49.27306,-25.42778,-49.27306
1316350,-13734181,-35.6895,-139.69171,35.6895,139.69171
4072377,6589076,-8.12923,63.54086,8.12923,-63.54086
1255193.2,11755686.9,-36.301068,115.206969,36.301068,-115.206969
981671.1,7936084.8,-39.036289,77.010948,39.036289,-77.010948
515289,8176620,-43.70011,79.4163,43.70011,-79.4163
746421,19091,-41.38879,-2.15899,41.38879,2.15899
557280.9,8056027.6,-43.280191,78.210376,43.280191,-78.210376
5885300,5734990,10,55,-10,-55
809690.5,11425061.9,-40.756095,111.900719,40.756095,-111.900719
3585300,8734990,-13,85,13,-85
1426165.1,11477621.2,-34.591349,112.426312,34.591349,-112.426312
603613,399313,-42.81687,1.64323,42.81687,-1.64323
8740026,6108665,38.54726,58.73675,-38.54726,-58.73675
-1125567,11599248,-60.10867,113.64258,60.10867,-113.64258
1610259,8910016,-32.75041,86.75026,32.75041,-86.75026
3885300,-565010,-10,-8,10,8
1352513,-2279351,-35.32787,-25.14341,35.32787,25.14341
1129924.2,7981016.2,-37.553758,77.460262,37.553758,-77.460262
3985300,8234990,-9,80,9,-80
815670.2,8034503.3,-40.696298,77.995133,40.696298,-77.995133
1086596,347994,-37.98704,1.13004,37.98704,-1.13004
-1125567,11599248,-60.10867,113.64258,60.10867,-113.64258
1938458.7,10087878.9,-29.468413,98.528889,29.468413,-98.528889
185275,11210092,-47.00025,109.75102,47.00025,-109.75102
1124573.2,9202974.9,-37.607268,89.679849,37.607268,-89.679849
2670307,10333270,-22.14993,100.9828,22.14993,-100.9828
1315552.7,10833204.6,-35.697473,105.982146,35.697473,-105.982146
1336139.2,9991271.7,-35.491608,97.562817,35.491608,-97.562817
843650,605246,-40.4165,3.70256,40.4165,-3.70256
146130,12392070,-47.3917,121.5708,47.3917,-121.5708
7622008,5824598,27.36708,55.89608,-27.36708,-55.89608
3885300,8634990,-10,84,10,-84
-103140,9949694,-49.8844,97.14704,49.8844,-97.14704
5885300,5734990,10,55,-10,-55
-819700,-1591680,-57.05,-18.2667,57.05,18.2667
2296966.3,8248173.1,-25.883337,80.131831,25.883337,-80.131831
